Company Name,URL,Directors
JOHN KEELLS HOLDINGS PLC,https://www.keells.com/leadership/,"Amal Cabraal, Dr Wijayasuriya, Krishan Balendra"
L O L C HOLDINGS PLC,https://www.lolc.com/directors,"Mrs Amarasinghe, K U Amarasinghe, Kalsha Amarasinghe, Kapila Jayawardena, Ravi Fernando, Ravi Fernando 
 Non-"
CEYLON TOBACCO COMPANY PLC,https://www.ceylontobaccocompany.com/who-we-are/corporate-governance/our-leadership,"GARY TARRANT, STUART KIDD, FARIYHA SUBHANI, SURESH SHAH"
COMMERCIAL BANK OF CEYLON PLC,https://www.combank.lk/about-us,"Palitha Kumarasinghe, Thushara Wijewardena, Lakshman Niyangoda, Nimal Fernando, Judy Lee, Sivakumar Selliah, Yohan Perera, Raja Senanayake"
LOLC FINANCE PLC,https://www.lolcfinance.com/about-us/board-of-directors/,"Conrad Dias, Chamila Priyangani, Chamila Priyangani - Independent Non-, Krishan Thilakaratne, F K C P N Dias - / Non, de Zylva"
DISTILLERIES COMPANY OF SRI LANKA PLC,https://www.marketscreener.com/quote/stock/DISTILLERIES-COMPANY-OF-S-6495013/company/,"Cedric Jansz, Deshamanya Jayawardena, Kolitha Jagath Kahanda, Nimal N. Nagahawatte"
MELSTACORP PLC,https://melstacorp.com/group/directors,"D. S. T. Jayawardena, Damien Fernando, D. S. T. Ja, K. J. Kahanda, D. Hasitha, M. R. Mihular, C. R. Jansz, K. J. K, N. De S. Deva Aditya 
 Non-Independent, M. A. N. S. Perera"
HATTON NATIONAL BANK PLC,https://www.hnb.net/about-the-bank/corporate-management/board-of-directors,Nanda Fernando
CARGILLS (CEYLON) PLC,https://www.cargillsceylon.com/about-us/,"Abdul Wahid, Ranjit Page, al warehouse, Ganesan Ampalavanar, Albert A. Page, Imtiaz Abdul Wahid, Louis Page"
SRI LANKA TELECOM PLC,https://www.slt.lk/en/about-us/profile/management,"Chan Chee Beng, Mr Amaraseker, Mr Amarasekera, Mothilal de Silva"
HAYLEYS PLC,https://www.hayleys.com/leadership/,"Mohan Pandithage, Rejoined Hayleys, Dhammika Perera, Sarath Ganegoda, Rajitha Kariyawasan, Harsha Cabral"
CARSON CUMBERBATCH PLC,https://www.marketscreener.com/quote/stock/CARSON-CUMBERBATCH-PLC-20702503/company/,"Deshabandu Tilak de Zoysa, Aneesh Dudeja"
HEMAS HOLDINGS PLC,https://hemas.com/about.html,"Dinesh Athapaththu, Ravi Jayasekera, J.L. Morison, Ajith Fernando, Anura Ekanayake, Sabrina Esuf, Husein Esufally, Morison Limited"
VALLIBEL ONE PLC,https://vallibelone.com/leadership,"Dhammika Perera, Harsha Amarasekara"
CEYLINCO HOLDINGS PLC,https://www.ceylincolife.com/our-leadership/,"Mr Ranasinghe, R. Renganathan, J. Durairatnam, P. D. M. Cooray, Robert H. Schuller, Family Savari"
RICHARD PIERIS AND COMPANY PLC,https://www.marketscreener.com/quote/stock/RICHARD-PIERIS-AND-COMPAN-6500545/company/,"RICHARD PIERIS, W. Joseph Vivile Praxidus Perera, Shaminda Yaddehige
                             COO, Richard Pieris, Sena Yaddehige"
NATIONS TRUST BANK PLC,https://www.nationstrust.com/about-us/our-story/board-of-directors,"Hemantha Gunetilleke 
 Director, Arjun Fernando 
 Non, Roshan Anne Perera, Ramesh Shanmuganathan 
 Non, Russell De Mel, Arjun Fernando, Sherin Cader, Sanjeev Jha 
 Non"
AITKEN SPENCE PLC,https://www.aitkenspence.com/corporate-governance/board-of-directors,"R.M. Fernando, Harry Jayawardena, Stasshani Jayawardena, Bhathiya Bulumulla, M.P. Dissanayake, Aitken Spence, Parakrama Dissanayake, Deshantha Silva, Rohan Fernando, Rajan Brito, Deshamanya D.H.S., N.J. De, J.M.S. Brito, the Aitken Spence"
LB FINANCE PLC,https://www.lbfinance.com/board-of-directors,Mudarabah Savings
ROYAL CERAMICS LANKA PLC,https://rocell.com/en/investor-relations,"S. Jayaweera, T. G. Thoradeniya, M. Y. A. Perera, S. M. Liyanage, H. Amarasekera 
 Co-, G. A. R. D. Prasanna, J. Gunaratne, K. A. D. D. Perera, B Perera, N. J. Weerakoon 
 Director, A. M. Weerasinghe"
ACCESS ENGINEERING PLC,https://accessengsl.com/who-we-are/board-of-directors/,"Joseph Joshua, Dilhan Perera, Sumal Perera"
SINGER (SRI LANKA) PLC,https://www.singersl.com/board-of-directors?srsltid=AfmBOorBH-BV9gMhZC5wANrghI7xeTXakPFUuW8W7mHYM_WR2FNf7pRK,"Gayani De Alwis, Mahesh Wijewardene, Deepal Sooriyaarachchi, Mohan Pandithage, Islandwide Delivery Trusted Warranty, Sujeewa Perera, Kapila Perera, Dilip Kumar De Silva Wijeyeratne, Mohamed Hisham Jamaldeen"
SENKADAGALA FINANCE COMPANY PLC,https://www.senfin.com/about_pop1.html,"Ajith Ferna, Sanath Bandaranayake, Prathap Ramanujam, Sanath Bandaranaya, W. M. RavindraSrilal Dias, Hubert H Humphrey, Lakshman Balasuriya - MD, Asoka Balasuriya, Mahendra Balasuriya, Ajith Fernando - Director - FCMA(UK, Lakshmi Fernando -"
PEOPLE'S LEASING & FINANCE PLC,https://www.plc.lk/about-us/board-of-directors/,"Pravir Dhanoush, Pravir Dhanoush Samarasinghe"
C I C HOLDINGS PLC,https://www.marketscreener.com/quote/stock/CIC-HOLDINGS-PLC-6499175/company/,"Shiran Harsha Amarasekera, P. Aroshan Seresinhe"
WINDFORCE PLC,https://windforce.lk/management/,"Hussain Akbarally, Asgi Akbarally, Huzefa Akbarally 
Non-Exec, Manjula Perera"
CHEVRON LUBRICANTS LANKA PLC,https://chevron.lk/leadership/,"Bertram Paul 
 Managing, Erande De Silva, Danielle Lincoln 
 Chairpers, Danielle Lincoln, Leadership 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
  People, Erande De Silva 
 Exec, Danielle Lincoln 
 Chairperson, Harsha Cabral, Haider Manasawala 
 Non-"
UNION ASSURANCE PLC,https://unionassurance.com/our-team/,"Stephen Appleyard, Stephen Anthony"
ASIRI HOSPITAL HOLDINGS PLC,https://www.marketscreener.com/quote/stock/ASIRI-HOSPITAL-HOLDINGS-P-16746248/company/,"Ashok Kariyawasam Pathirage, K. Karunaratne, Sudath Hewage"
ACL CABLES PLC,https://acl.lk/board_of_directors,"U. G. Madanayake, N. C. Mad, Ajit Jaya, Hemaka Amarasuriya, N. C. Madanayake, N.C. Madanayake, Suren Madanayake, U.G. Madanayake"
JOHN KEELLS HOTELS PLC,https://www.keells.com/leadership/,"Amal Cabraal, Dr Wijayasuriya, Krishan Balendra"
HATTON NATIONAL BANK PLC,https://www.hnb.net/about-the-bank/corporate-management/board-of-directors,Nanda Fernando
AMBEON HOLDINGS PLC,https://ambeonholdings.com/board-of-directors/,Sujeewa Mudalige
AITKEN SPENCE HOTEL HOLDINGS PLC,https://www.aitkenspence.com/corporate-governance/board-of-directors,"R.M. Fernando, Harry Jayawardena, Stasshani Jayawardena, Bhathiya Bulumulla, M.P. Dissanayake, Aitken Spence, Parakrama Dissanayake, Deshantha Silva, Rohan Fernando, Rajan Brito, Deshamanya D.H.S., N.J. De, J.M.S. Brito, the Aitken Spence"
AMBEON CAPITAL PLC,"https://www.ft.lk/front-page/Changes-in-Boards-of-Ambeon-companies/44-762324#:~:text=With%20the%20latest%20appointment%2C%20the,Sujeewa%20Mudalige%2C%20Group%20CEO%20Dr.","Savanth Sebastian, A.G. Weerasinghe, Sujeewa Mudalige, Yudy Kanagasabai, Sajeeva Narangoda, Dilush Perera, Ajith Devasurendra, Ambeon Capi, Mangala Boyagoda, Samresh Kumar"
DIGITAL MOBILITY SOLUTIONS LANKA PLC,https://pickme.lk/about-pickme,Zulfer Jiffry
ASIAN HOTELS AND PROPERTIES PLC,https://www.marketscreener.com/quote/stock/ASIAN-HOTELS-AND-PROPERTI-6499167/company/,"Suresh Rajendra, Joseph Gihan Adisha Cooray, Changa Gunawardane, Krishan Niraj J. Balendra"
DILMAH CEYLON TEA COMPANY PLC,https://www.marketscreener.com/quote/stock/DILMAH-CEYLON-TEA-COMPANY-13396505/company/,"Chrishantha Fernando, Himendra Ranaweera, Minette Perera, Darshana Gunasekera"
SOFTLOGIC LIFE INSURANCE PLC,https://softlogiclife.lk/board-of-directors/,"Raimund Snyders, V. Govindasamy, Visvanathamoorthy Govindasamy, Ashok Pathirage"
TOKYO CEMENT COMPANY (LANKA) PLC,https://www.marketscreener.com/quote/stock/TOKYO-CEMENT-COMPANY-LANK-6499191/company/,"Wadugamudalige Dias, Harsha Cabral, Simon Gnanam, Warnakulasuriya Christopher Fernando"
SEYLAN BANK PLC,https://www.seylan.lk/about-us/board-of-directors,"Buwaneka Aluwihare, Mrs Salgado, Krishan Thilakaratne"
COMMERCIAL CREDIT AND FINANCE PLC,https://www.cclk.lk/about-us/board-of-directors/en,"RAJIV CASIE CHITTY, Profile

     
 
 
 
 

      Overview

     
 
 
 
 

      History, R.S. EGODAGE"
CAPITAL ALLIANCE PLC,https://cal.lk/board-of-directors/,"Dinesh De Zoysa, De Zoysa"
THE LANKA HOSPITALS CORPORATION PLC,https://www.lankahospitals.com/about/board-of-directors/,Nilupul Perera
HAYLEYS FABRIC PLC,https://www.hayleysfabric.com/index.php/who-we-are/hayleys-fabric-leadership,"Nanda Fernando, A.M. Pandithage, Mohan Pandithage, Brindhiini Perera, A. M. PANDITHAGE -, E. R. P. GOONETILLEKE - Managing, Eranga Rohan Peiris Goonetilleke"
LANKA MILK FOODS (CWE) PLC,https://www.lmfgroup.lk/board-of-directors/,"Bill Clinton, C. Royle Jansz, Hasitha Jayawardena, Thusitha Cooray, Hilary Rodham Clinton"
SEYLAN BANK PLC,https://www.seylan.lk/about-us/board-of-directors,"Buwaneka Aluwihare, Mrs Salgado, Krishan Thilakaratne"
First Capital Treasuries PLC,"https://www.ft.lk/financial-services/First-Capital-Treasuries-appoints-Channa-de-Silva-to-Board-of-Directors/42-771258#:~:text=With%20this%20appointment%2C%20The%20Board,de%20Silva%20and%20Sachith%20Perera.","de Silva, Channa de Silva"
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,https://www.cdb.lk/about-us,"Alastair Corera, Mahesh Nanayakkara, Jagath Abhayaratne"
VALLIBEL FINANCE PLC,https://www.vallibelfinance.com/board-of-directors,"K. D. A. Perera, S. B. Rangamuwa 
 Managing, Anuradha Perera"
JAT HOLDINGS PLC,https://jatholdings.com/leadership/board-of-directors,"Aelian Gunawardene, Sivakumar Selliah"
KOTMALE HOLDINGS PLC,https://www.marketscreener.com/quote/stock/KOTMALE-HOLDINGS-PLC-20703688/company/,"Abdul Wahid, Nimal Gunaratne, Valentine Page, vernance
                 
                    Composition of the Board of, Mohamed Imtiaz, Saranga Wijesundara"
VIDULLANKA PLC,https://vidullanka.com/about-us/,"Read Bio, Read Bio Deepthie Wickramasuriya Indepen, Read Bio Riyaz Sangani, Read Bio Deepthie Wickramasuriy, Read Bio Sattar Kassim, Read Bio M. Rizvi Zaheed, Osman Kassim, Bio Shahid M. Sangani Non-, Bio Ranjan Mather Non-, Read Bio Deepthie Wickramasuriya"
AMANA BANK PLC,https://www.amanabank.lk/about-us/board-of-directors.html,"Asgi Akbarally, Ali Asghar, Mohamed Azmeer"
MALWATTE VALLEY PLANTATION PLC,https://www.malwattevalley.com/about/the-board-of-directors/,Malwatte Valley Plan
NATIONS TRUST BANK PLC,https://www.nationstrust.com/about-us/our-story/board-of-directors,"Hemantha Gunetilleke 
 Director, Arjun Fernando 
 Non, Roshan Anne Perera, Ramesh Shanmuganathan 
 Non, Russell De Mel, Arjun Fernando, Sherin Cader, Sanjeev Jha 
 Non"
HNB ASSURANCE PLC,https://www.hnbassurance.com/board,"Damien Fernando, Stuart Chapman, Ashoka Goonesekere, Nagarro SE"
PRIME LANDS RESIDENCIES PLC,https://www.marketscreener.com/quote/stock/PRIME-LANDS-RESIDENCIES-P-124598591/company/,"Brahmanage Premalal, Harshana Kulatilaka, Rukmal Perera, N. Manjula Weerakkody"
COMMERCIAL BANK OF CEYLON PLC,https://www.combank.lk/about-us,"Palitha Kumarasinghe, Thushara Wijewardena, Lakshman Niyangoda, Nimal Fernando, Judy Lee, Sivakumar Selliah, Yohan Perera, Raja Senanayake"
SOFTLOGIC HOLDINGS PLC,https://www.softlogic.lk/board-of-director,"Prasantha Lal De Alwis, Roshan Rassool, Hemantha Gunawardena, Prashantha Lal De Alwis, Shirish Saraf, Ashok Pathirage, De Alwis"
LAUGFS GAS PLC,https://en.wikipedia.org/wiki/LAUGFS_Gas,"W. K. H. Wegapitiya, Thilak De Silva"
VALLIBEL POWER ERATHNA PLC,https://vallibel-hydro.com/about-us/board-of-directors.php,"Harsha Amarasekera, Prabodha Sumanasekera, P. K. Sumanasekera, Dinusha Bhaskaran"
DIESEL & MOTOR ENGINEERING PLC,https://www.dimolanka.com/about-us/our-team/,"Joint Manag, Mohan Pandithage, Ranjith Pandithage, Mohan Pandithage  
 X"
UNITED MOTORS LANKA PLC,https://www.unitedmotors.lk/company/board-of-directors,"Hiroshini Fernando 
 Non-, Stuart Chapman, United Automart, Chanaka Yatawara, Devaka Cooray"
TOKYO CEMENT COMPANY (LANKA) PLC,https://www.marketscreener.com/quote/stock/TOKYO-CEMENT-COMPANY-LANK-6499191/company/,"Wadugamudalige Dias, Harsha Cabral, Simon Gnanam, Warnakulasuriya Christopher Fernando"
ALUMEX PLC,https://www.marketscreener.com/quote/stock/ALUMEX-PLC-20707929/company/,"Antonio Jonathan Alles, R. Rajapaksha, nance
                 
                    Composition of, Abeyakumar Mohan Pandithage, Dediwela Dediwela"
CEYLINCO HOLDINGS PLC,https://www.ceylincolife.com/our-leadership/,"Mr Ranasinghe, R. Renganathan, J. Durairatnam, P. D. M. Cooray, Robert H. Schuller, Family Savari"
GALADARI HOTELS (LANKA) PLC,https://www.marketscreener.com/quote/stock/GALADARI-HOTELS-LANKA-PLC-20702502/company/,"Venkatramanan Radhakrishnan, Mohammed Abdullatif Ibrahim Galadari, Lalith de Silva"
ELPITIYA PLANTATIONS PLC,https://www.elpitiya.com/board-of-directors/,"Dr Ravi Fernando, D.C. Fernando, Ravi Fernando, M. P. Dissanayake, D. A. de S. Wickremanayake, Rohan Fernando"
E B CREASY & COMPANY PLC,https://en.wikipedia.org/wiki/E._B._Creasy_%26_Company,"E. B. Creasy & Creasy Company type, Edward Bennet Creasy Headquarters Colombo, S. Rajaratnam, S. D. R. Arudpragasam, R. Seevaratnam"
MERCANTILE INVESTMENTS AND FINANCE PLC,https://mi.com.lk/en/about-us/board-of-directors,"Angeline Myrese Ondaatjie, Anil Lasantha Naomal Dias, John Ondaatjie, Gerard George Ondaatjie"
SIERRA CABLES PLC,https://www.sierracables.com/our-team/board-of-directors.html,"W. D. C. H. Jayatunga, W. D. C. H. JAYATUNGA"
